filename,speaker
id11101/a_GeH7Tnzag/00059.wav,1101
id11102/Cc7cLjNw1-E/00006.wav,1102
id11103/MYMYlgIlyRo/00015.wav,1103
id11104/4eStFmZMSkg/00044.wav,1104
id11105/XQ6P7s1Gg8w/00012.wav,1105
id11106/_hJVoX4UPIc/00006.wav,1106
id11107/0hqbU1Q2RDM/00032.wav,1107
id11108/gLQaUmMJEvQ/00035.wav,1108
id11109/fdRgtOVHjvU/00005.wav,1109
id11110/ig9vI1du458/00004.wav,1110
id11111/U2ZZ_EhRfq8/00017.wav,1111
id11112/FUiiruCPVTI/00009.wav,1112
id11113/8HnneuwH3m4/00002.wav,1113
id11114/qgQssXEXgyA/00009.wav,1114
id11115/wd7n4yQQBgM/00006.wav,1115
id11116/6p2CPsUUJrE/00001.wav,1116
id11117/JSzJC7Ytf_8/00012.wav,1117
id11118/q62TMalL88Y/00005.wav,1118
id11119/HwA4PmjF0RY/00006.wav,1119
id11120/hI1uXBbR-s4/00001.wav,1120
id11121/ZN3nGUi2ysM/00001.wav,1121
id11122/oxIiCxwEyYw/00007.wav,1122
id11123/_qXuTwdlF9k/00034.wav,1123
id11124/N0Rznop7WME/00010.wav,1124
id11125/QTeDj9TDK2w/00008.wav,1125
id11126/QUC5ptsIu7k/00002.wav,1126
id11127/fIXU5ExruI0/00012.wav,1127
id11128/yFZG247_qTs/00006.wav,1128
id11129/cU08bnCNAEA/00001.wav,1129
id11130/7j_105F0RmM/00005.wav,1130
id11131/cOrxI-FMO7Y/00007.wav,1131
id11132/jKrCYF4nJUc/00002.wav,1132
id11133/_wrjbQ4lDUY/00010.wav,1133
id11134/w_5IxgNGAKA/00046.wav,1134
id11135/_ZDNoW_f2qk/00010.wav,1135
id11136/Axf1v9rZsEw/00016.wav,1136
id11137/iGC6hsD1QB0/00034.wav,1137
id11138/ueTaWV86Ldg/00013.wav,1138
id11139/lWGSIuUF9lE/00005.wav,1139
id11140/j3RAP5Rzss8/00010.wav,1140
id11141/RnjN9TKyYHg/00007.wav,1141
id11142/jfdmN4zPL-U/00008.wav,1142
id11143/O7d9FJiQM3s/00010.wav,1143
id11144/K-HdchZQlkE/00003.wav,1144
id11145/C54L2kqxQoA/00024.wav,1145
id11146/aGP6xsaJVOM/00001.wav,1146
id11147/HTU1VzE_3PI/00007.wav,1147
id11148/WUjtI8-mpgg/00010.wav,1148
id11149/dPuUe_XVELQ/00013.wav,1149
id11150/_gqH11CZpRs/00028.wav,1150
id11151/xuAOpwgafBg/00028.wav,1151
id11152/rj2lMHDaAwk/00001.wav,1152
id11153/H0qZxG_OY3I/00001.wav,1153
id11154/Fne0TLDTYtk/00016.wav,1154
id11155/YSMtQhEt7f0/00013.wav,1155
id11156/PP3w9KUQLzs/00001.wav,1156
id11157/PXgGCwOOsEY/00020.wav,1157
id11158/uGu757k_QTY/00002.wav,1158
id11159/afLgIbJ_6p0/00012.wav,1159
id11160/Eoo7tBT2gQU/00007.wav,1160
id11161/9-b6cfguVgI/00004.wav,1161
id11162/u6w0z3xeW5k/00005.wav,1162
id11163/e8hZgJy-9ZY/00011.wav,1163
id11164/q60ulj4fbyU/00002.wav,1164
id11165/VEG5luYCEHg/00026.wav,1165
id11166/0qERIT_cLB4/00014.wav,1166
id11167/oebcQl_9pT0/00005.wav,1167
id11168/6rxRSdnjd-c/00020.wav,1168
id11169/tT2onYjtb-4/00007.wav,1169
id11170/7Va1wkL4EyY/00002.wav,1170
id11171/_J-7BTc1c20/00001.wav,1171
id11172/K3ElCQb1ZmI/00020.wav,1172
id11173/ztrh92ku3k8/00003.wav,1173
id11174/ivBABZzt-RI/00004.wav,1174
id11175/p1SQEcYYEI4/00005.wav,1175
id11176/5FUw4n68xY8/00005.wav,1176
id11177/D3JZAm2SG9s/00001.wav,1177
id11178/cPle3RK0uXM/00003.wav,1178
id11179/VJ__L3391hU/00013.wav,1179
id11180/ZWePlXe0sG8/00017.wav,1180
id11181/qrszNLuEAhs/00002.wav,1181
id11182/Nd3iJIOaPHo/00002.wav,1182
id11183/bHEEGvo1ZOg/00005.wav,1183
id11184/oTJJuISDNPY/00007.wav,1184
id11185/9O_RaQFYV-Q/00003.wav,1185
id11186/p08Vaf307-A/00012.wav,1186
id11187/2KiIeExNAsM/00017.wav,1187
id11188/d8a75TYQUVc/00001.wav,1188
id11189/BYduj5DZ4s8/00003.wav,1189
id11190/cET-p9LhzHo/00014.wav,1190
id11191/mXBZPFu7i5E/00003.wav,1191
id11192/bgXuFwwEIxQ/00003.wav,1192
id11193/XL3B5tHpj1Y/00004.wav,1193
id11194/j5R4LsTuJus/00011.wav,1194
id11195/53UoFCVS_D0/00005.wav,1195
id11196/3dEIiQcctWY/00001.wav,1196
id11197/Kx_-fjT4T9o/00008.wav,1197
id11198/s_B1D_VTeEQ/00009.wav,1198
id11199/2Cn5pCHT-YY/00005.wav,1199
id11200/gi-DokIpUVc/00004.wav,1200
